name,raw_location,description,year,rank,city,restaurant_key,latitude,longitude
Valentina’s Tex Mex BBQ,Austin,"AustinValentina’s Tex Mex BBQCopy linkOpened:2013Pitmaster:Miguel Vidal, 40Method:Mesquite; offset smokerPro Tip:The smoked burger Thursday special is no longer available, but if you’re one of the many who crave it, head to Vidal’s new truck, Cash Cow Burgers, located down the road.This beloved South Austin joint’s smoked meats are reliably tender and tasty, the handmade tortillas divine. And don’t get us started on the fresh salsas or the Real Deal Holyfield breakfast taco, a miracle of refried",2021,2.0,Austin,valentina’s tex mex bbq_austin,30.2672,-97.7431
Valentina’s Tex Mex BBQ,Austin,"Austin Valentina’s Tex Mex BBQ Copy link Opened: 2013 Pitmaster: Miguel Vidal, 40 Method: Mesquite; offset smoker Pro Tip: The smoked burger Thursday special is no longer available, but if you’re one of the many who crave it, head to Vidal’s new truck, Cash Cow Burgers, located down the road. This beloved South Austin joint’s smoked meats are reliably tender and tasty, the handmade tortillas divine. And don’t get us started on the fresh salsas or the Real Deal Holyfield breakfast taco, a miracle",2021,2.0,Austin,valentina’s tex mex bbq_austin,30.2672,-97.7431
2M Smokehouse,San Antonio,"San Antonio2M SmokehouseCopy linkOpened:2016Pitmaster:Esaul Ramos, 36Method:Post oak; offset smokerPro Tip:Smoked beef cheek barbacoa is the special the first Sunday of the month.On a busy avenue in southeast San Antonio, a line of vehicles—from pickups to Porsches—snakes out of the parking lot and onto the street. These pilgrims have come from all over for brisket with a spicy bark and a fine balance of smoky and beefy flavor that’s so tender it accordions open when you lift a slice. Pitmaster ",2021,2.0,San Antonio,2m smokehouse_san antonio,29.4252,-98.4946
2M Smokehouse,San Antonio,"San Antonio 2M Smokehouse Copy link Opened: 2016 Pitmaster: Esaul Ramos, 36 Method: Post oak; offset smoker Pro Tip: Smoked beef cheek barbacoa is the special the first Sunday of the month. On a busy avenue in southeast San Antonio, a line of vehicles—from pickups to Porsches—snakes out of the parking lot and onto the street. These pilgrims have come from all over for brisket with a spicy bark and a fine balance of smoky and beefy flavor that’s so tender it accordions open when you lift a slice.",2021,2.0,San Antonio,2m smokehouse_san antonio,29.4252,-98.4946
Louie Mueller Barbecue,Taylor,"TaylorLouie Mueller BarbecueCopy linkOpened:1949Pitmaster:Wayne Mueller, 56Method:Post oak; offset smokerPro Tip:Prepare to embrace a long wait and many decades’ worth of smoke-stained charm.The line at Louie Mueller was moving slowly when we visited, and the woman taking orders had no time for small talk. But our request for a beef rib stopped her cold. “You know what you’re doing, right?” she said. “That’s gonna be more than two pounds of meat. Yep, could be seventy or eighty dollars.” She sla",2021,19.0,Taylor,louie mueller barbecue_taylor,30.5708,-97.4097
Louie Mueller Barbecue,Taylor,"Taylor Louie Mueller Barbecue Copy link Opened: 1949 Pitmaster: Wayne Mueller, 56 Method: Post oak; offset smoker Pro Tip: Prepare to embrace a long wait and many decades’ worth of smoke-stained charm. The line at Louie Mueller was moving slowly when we visited, and the woman taking orders had no time for small talk. But our request for a beef rib stopped her cold. “You know what you’re doing, right?” she said. “That’s gonna be more than two pounds of meat. Yep, could be seventy or eighty dollar",2021,19.0,Taylor,louie mueller barbecue_taylor,30.5708,-97.4097
Terry Black’s Barbecue,Dallas,"DallasTerry Black’s BarbecueCopy linkOpened:2019Pitmaster:Mark Black, 33; Michael Black, 33Method:Post oak; offset and wood-fired rotisserie smokersPro Tip:They won’t reveal how it’s dyed, but the black margarita is more than a gimmick.As at the flagship Terry Black’s, in Austin, the scores of people taking photos of themselves set off our tourist-trap alarm bells. But our concern was misplaced: this is first-rate barbecue. We carefully carried our grease-soaked bundle of butcher paper to our ta",2021,20.0,Dallas,terry black’s barbecue_dallas,32.7767,-96.797
Terry Black’s Barbecue,Dallas,"Dallas Terry Black’s Barbecue Copy link Opened: 2019 Pitmaster: Mark Black, 33; Michael Black, 33 Method: Post oak; offset and wood-fired rotisserie smokers Pro Tip: They won’t reveal how it’s dyed, but the black margarita is more than a gimmick. As at the flagship Terry Black’s, in Austin, the scores of people taking photos of themselves set off our tourist-trap alarm bells. But our concern was misplaced: this is first-rate barbecue. We carefully carried our grease-soaked bundle of butcher pape",2021,20.0,Dallas,terry black’s barbecue_dallas,32.7767,-96.797
Smoke-A-Holics BBQ,Fort Worth,"Fort WorthSmoke-A-Holics BBQCopy linkOpened:2019Pitmaster:Derrick Walker, 44Method:Pecan; offset smokerPro Tip:As of publication, the menu is to-go only. Order ahead to avoid the wait.Derrick Walker started doing pop-ups before it was cool, back in 2005 or so. Armed with a culinary degree and a competition pedigree, he finally landed a permanent spot near Hillside Park two years ago with the help of his wife, Kesha. The usual suspects are on the self-described “Tex-Soul” menu, among them moist b",2021,20.0,Fort Worth,smoke-a-holics bbq_fort worth,32.7555,-97.3308
Smoke-A-Holics BBQ,Fort Worth,"Fort Worth Smoke-A-Holics BBQ Copy link Opened: 2019 Pitmaster: Derrick Walker, 44 Method: Pecan; offset smoker Pro Tip: As of publication, the menu is to-go only. Order ahead to avoid the wait. Derrick Walker started doing pop-ups before it was cool, back in 2005 or so. Armed with a culinary degree and a competition pedigree, he finally landed a permanent spot near Hillside Park two years ago with the help of his wife, Kesha. The usual suspects are on the self-described “Tex-Soul” menu, among t",2021,20.0,Fort Worth,smoke-a-holics bbq_fort worth,32.7555,-97.3308
